high_version, low_version, similarity
3.4.1, 3.4.0, 0.8721222268731686
3.4.1, 3.3.1, 0.8491000418585182
3.4.1, 3.3.0, 0.8491000418585182
3.4.1, 3.2.1, 0.7268731686898284
3.4.1, 3.2.0, 0.7260359983256592
3.4.1, 3.1.1, 0.6647132691502721
3.4.1, 3.1.0, 0.6301799916282964
3.4.1, 3.0.0, 0.6301799916282964
3.4.1, 2.2.4, 0.39252825449979073
3.4.1, 2.2.3, 0.384470489744663
3.4.1, 2.2.2, 0.38394725826705733
3.4.1, 2.2.1, 0.37766848053578905
3.4.1, 2.2.0, 0.3773545416492256
3.4.1, 2.1.4, 0.18836333193804938
3.4.1, 2.1.3, 0.18836333193804938
3.4.1, 2.1.2, 0.18836333193804938
3.4.1, 2.1.1, 0.1854332356634575
3.4.1, 2.1.0, 0.18428212641272498
3.4.1, 2.0.3, 0.14974884889074927
3.4.1, 2.0.2, 0.14974884889074927
3.4.1, 2.0.1, 0.14723733779824194
3.4.1, 2.0.0, 0.12861029719547928
3.4.1, 1.12.4, 0.2334658853076601
3.4.1, 1.12.3, 0.2334658853076601
3.4.1, 1.12.2, 0.2329426538300544
3.4.1, 1.12.1, 0.2329426538300544
3.4.1, 1.12.0, 0.2329426538300544
3.4.1, 1.11.3, 0.13750523231477604
3.4.1, 1.11.2, 0.13750523231477604
3.4.1, 1.11.1, 0.13750523231477604
3.4.1, 1.11.0, 0.13645876935956466
3.4.1, 1.10.2, 0.12358727501046463
3.4.1, 1.10.1, 0.12358727501046463
3.4.1, 1.10.0, 0.12107576391795731
3.4.1, 1.9.1, 0.09449560485558811
3.4.1, 1.9.0, 0.0977396400167434
3.4.1, 1.8.3, 0.06341565508580996
3.4.1, 1.8.2, 0.06341565508580996
3.4.1, 1.8.1, 0.06341565508580996
3.4.1, 1.8.0, 0.0534742570113018
3.4.1, 1.7.2, 0.028568438677270824
3.4.1, 1.7.1, 0.02532440351611553
3.4.1, 1.7.0, 0.02532440351611553
3.4.1, 1.7, 0.02532440351611553
3.4.1, 1.6.4, 0.021033905399748847
3.4.1, 1.6.3, 0.021033905399748847
3.4.1, 1.6.2, 0.015278359146086228
3.4.1, 1.6.1, 0.015278359146086228
3.4.1, 1.6.0, 0.015278359146086228
3.4.1, 1.6, 0.015278359146086228
3.4.1, 1.5.2, 0.015278359146086228
3.4.1, 1.5.1, 0.015278359146086228
3.4.1, 1.5.0, 0.015278359146086228
3.4.1, 1.5, 0.015278359146086228
3.4.1, 1.4.4, 0.009418166596902469
3.4.1, 1.4.3, 0.008162411050648808
3.4.1, 1.4.2, 0.008162411050648808
3.4.1, 1.4.1, 0.008162411050648808
3.4.1, 1.4.0, 0.008162411050648808
3.4.1, 1.4, 0.008162411050648808
3.4.1, 1.3.2, 0.008162411050648808
